,Modified_claude-sonnet-4-20250514_of_Modified_claude-sonnet-4-20250514_of_CV_Modelclaude-sonnet-4-20250514_Modelclaude-sonnet-4-20250514
10,"**Yana**
UX/UI Designer

**Professional Summary**
Passionate UX/UI designer with expertise in modern minimalism and functional design. Experienced in competitor analysis, user profiling, and creating comprehensive design solutions from wireframes to interactive prototypes. Adaptable designer ready to work across different styles and directions while maintaining focus on usability and user experience.

**Core Competencies**
• User Experience & Interface Design
• Competitor Analysis & Market Research
• User Profiling & Persona Development
• Wireframing & Interactive Prototyping
• Design System Architecture
• Responsive & Adaptive Web Design
• Cross-Platform Design Consistency

**Technical Proficiencies**
• Design Tools: Figma (hotkeys, autolayouts, variants, components), Adobe Illustrator, Adobe Photoshop, Miro
• Design Systems: Expert implementation of styles, components, and variants
• Visual Design: Typography and color theory application
• Graphics: Raster and vector graphics creation and manipulation
• Prototyping: Interactive prototype development
• Standards: Google Material Design Guidelines, Apple Human Interface Guidelines

**Project Portfolio**

**Landing Page Design - Sugaring Salon**
• Executed comprehensive competitor analysis to inform design strategy
• Developed detailed user profiles and personas based on target demographics
• Applied advanced color theory and typography principles for optimal user engagement
• Delivered complete landing page design solution meeting client requirements

**Website Redesign Project**
• Created functional working prototypes and wireframes for enhanced user experience
• Developed comprehensive design system and component kit for brand consistency
• Designed scalable product cards utilizing Figma's autolayout functionality
• Implemented reusable components and variants for efficient design system maintenance

**Professional Preferences**
• Employment: Full-time or part-time positions
• Work Environment: Remote work opportunities preferred
• Industry Focus: Product companies, e-commerce, social impact projects
• Team Structure: Collaborative environments with clear management
• Project Type: Innovative and cutting-edge projects with flexible working arrangements"
11,"**Yulia**
**Junior UI/UX Designer**

**PROFESSIONAL SUMMARY**
Results-driven Junior UI/UX Designer with 4 years of freelance graphic design experience and specialized training in mobile app and UI/UX design. Demonstrated success collaborating with diverse international clients to deliver impactful visual solutions across brand identity, digital content, and user interface design. Strong analytical and problem-solving abilities with proven expertise in cross-functional team collaboration and client relationship management.

**PROFESSIONAL EXPERIENCE**

**Freelance Graphic Designer** | 4 Years
• Partnered with small brands across food manufacturing, clothing and accessories, and local services industries to develop comprehensive visual strategies
• Designed and executed complete brand identity systems including custom logos and cohesive Instagram profile aesthetics
• Produced high-quality visual content including photography and videography to enhance client marketing campaigns
• Enabled brands to achieve successful product promotion on Instagram through strategic visual design and content planning

**UI Designer** | Project-Based Contracts
• Designed responsive landing pages, micro-pages, and professional resume layouts for diverse client portfolio
• Developed compelling presentations to meet internal company communication requirements
• Advanced proficiency in UI design principles and industry-standard Figma software through hands-on project implementation

**EDUCATION**
**Mobile Apps Design Course** | Projector | May 2023
**UX/UI Design Courses** | Beetroot Academy | January 2022

**CORE COMPETENCIES**
• Figma & UI/UX Design Methodologies
• Brand Identity Development & Strategy
• Visual Content Creation (Photography & Videography)
• Responsive Landing Page Design
• Client Consultation & Project Management

**LANGUAGES**
• English (Fluent)
• Polish (Fluent)

**CAREER OBJECTIVE**
Seeking growth opportunities as a UI/UX Designer within a dynamic digital creative agency that champions creativity and innovation. Passionate about contributing to diverse project portfolios and collaborating with creative professionals to deliver exceptional design solutions that drive measurable client success."
12,"**UI/UX Designer**

Passionate about creating logical, intuitive and modern user experiences and interfaces. I enjoy figuring out how to make user journeys smooth and effortless. To accomplish this, I focus on utilizing best UX practices and empathizing with users' needs.

**Experience**

**UI/UX Certification Project**
• Solved complex design challenges by designing order builder function for responsive website according to stakeholder requirements
• Designed comprehensive e-commerce website meeting all stakeholder specifications
• Collaborated with team of six designers throughout research phase
• Conducted competitive research and market niche analysis
• Presented design decisions to team and expert mentor during brainstorming sessions
• Developed and deployed user survey for targeted user base
• Gathered insights through comprehensive quantitative and qualitative research
• Created detailed user personas and customer journey maps
• Developed comprehensive information architecture
• Applied business requirements and UX best practices to create logical, intuitive user journeys
• Designed wireframes and interactive prototypes
• Implemented visual design solutions
• Optimized website interface for mobile devices
• Executed usability testing to validate design decisions
• Developed comprehensive UI kit using atomic design methodology
• Ensured UI compliance with accessibility standards

**Technical Skills**
• Advanced proficiency in Figma (FigJam, autolayouts, components and variants, styles, prototyping)
• Expert knowledge of Material Design and Human Interface Guidelines

**Core Competencies**
• Competitive analysis
• SWOT analysis
• User survey development
• Quantitative research
• Qualitative research
• User persona development
• Customer journey mapping
• Information architecture
• Wireframing
• Interactive prototyping
• Usability testing
• UI kit development
• Desktop user interface design
• Mobile user interface design (iOS, Android, responsive/adaptive websites)"
13,"**Junior UI/UX Designer**

**Professional Summary**
Results-driven Junior UI/UX Designer with 6 months of hands-on experience creating intuitive and visually compelling user interfaces. Proven ability to collaborate effectively with cross-functional teams while delivering responsive designs that enhance user experience across multiple platforms.

**Education & Certifications**
• 6 Design Course Certifications (certificates available with results)
• English Course Certification (certificate available)

**Professional Experience**

**UI/UX Designer** | 6 months

**Website Design - Rental Agricultural and Construction Equipment Platform**
• Partnered with development and QA teams to deliver cohesive design solutions
• Architected comprehensive user interfaces encompassing color schemes, typography, layouts, and iconography systems
• Engineered responsive web designs optimized for desktop, mobile, and tablet experiences
• Executed user experience testing to validate design decisions
• Produced high-fidelity prototypes and detailed mockups for stakeholder review

**IT Company Website Redesign Project**
• Coordinated with development and QA teams throughout the redesign process
• Crafted modern user interfaces featuring strategic color palettes, typography hierarchies, intuitive layouts, and custom iconography
• Delivered fully responsive web designs ensuring seamless functionality across desktop, mobile, and tablet devices
• Built interactive prototypes and comprehensive mockups to guide implementation

**Core Competencies**
• User Interface Design (Color Theory, Typography, Layout Design, Iconography)
• Responsive Web Design (Multi-device Optimization)
• User Experience Testing & Validation
• Interactive Prototyping
• High-Fidelity Mockup Development
• Cross-Functional Team Collaboration
• Technical Communication with Development and QA Teams

**Career Objective**
Pursuing growth opportunities to expand expertise through mentorship from senior professionals, hands-on practice, and progressive experience toward advancement to Senior UI/UX Designer position."
14,"**UX/UI Designer**

Highly motivated and versatile UX/UI designer with a successful track record in marketing and communications. Following completion of IT school and discovering a passion for creating exceptional user experiences, transitioned to specialize in UX/UI design for web and mobile applications. Leveraging extensive background in marketing and communications to bring a unique perspective to design projects, ensuring solutions meet user needs while aligning with business objectives.

**PROFESSIONAL EXPERIENCE**

**Communication Strategy Expert**  
ABINBEV, Prague | March 2022 – Present

**Visual Communication Lecturer**  
OMD Czech, Prague | September 2021 – Present

**SMM Expert**  
March 2021 – Present

**Marketing Manager**  
DOMKYSRDCEM s.r.o, Prague | September 2021 – Present

**Media Planner**  
OMD Czech, Prague | November 2018 – March 2022

**DESIGN PROJECTS**

**AhojStudent.com Web Redesign** (IT School GoIT)  
Redesigned poorly structured website by enhancing content architecture, information structure, and visual design to create an optimized, visitor-friendly user experience.

**CleanUp Web Service Platform**  
Developed comprehensive web service enabling users to discover and request diverse home assistance services through intuitive service category selection and professional matching capabilities.

**SwiftShop - Smart Supermarket Payment Application**  
Designed innovative payment application to streamline shopping experience and eliminate checkout lines through user-centered interface design and integration of cutting-edge technology.

**CORE VALUES**

• Career advancement and growth opportunities
• Remote work flexibility and autonomy
• Continuous learning through training and development programs
• Collaborative and supportive work environment"
15,"**UI/UX Designer**

**Profile**
Junior UI/UX Designer specializing in web and mobile applications with expertise in prototype creation, target audience research, and design implementation. Currently advancing skills through studies at international EdTech company ""GoIT"". Seeking opportunities to contribute to a collaborative team environment while continuing professional growth in UI/UX design.

**Experience & Projects**

**Medical Service - Team Project**
Contributed to development of comprehensive medical web service facilitating doctor-patient interactions. Platform enables patients and doctors to access medical history, schedule appointments and lab tests, and maintain 24/7 communication through integrated chat functionality. Service includes automated conversation recording and report generation capabilities for medical consultations.

**Tattoo Studio Website Redesign**  
Executed complete redesign cycle for tattoo studio website addressing outdated visual presentation, poor text readability, and low-quality imagery. Conducted comprehensive competitor analysis and target audience research prior to project initiation. Developed interactive prototypes and comprehensive UI kit. Delivered fully responsive design optimized across desktop, mobile, and tablet platforms.

**Flower Shop Landing Page**
Designed complete landing page solution for flower shop including strategic competitor analysis, thoughtful color palette selection, and typography implementation. Created responsive design with desktop-first approach and seamless mobile/tablet adaptations.

**Core Competencies**
• Interactive prototype development
• Target audience research and analysis  
• UI/UX design for web and mobile applications
• Competitive market analysis
• Cross-platform responsive design (desktop, mobile, tablet)
• Comprehensive UI kit development and design system creation

**Education**
Currently studying UI/UX Design at GoIT International EdTech Company"
16,"**Junior UX/UI Designer**

Creative and responsible junior UX/UI designer specializing in prototyping, landing pages, website redesign, and mobile application development. Proficient in Figma, Adobe Photoshop, and Adobe Illustrator with demonstrated experience in team leadership and collaborative project development.

**Professional Experience**

**Team Leader | ""PawPatrol"" Web Service Development**
Led cross-functional 2-person team in developing comprehensive web service enabling users to post advertisements for lost pets. Managed project deliverables, team coordination, and demonstrated strong leadership capabilities throughout full development cycle.

• Conducted user research and developed user personas
• Created comprehensive wireframes and user flow documentation  
• Applied Jobs-to-be-Done (JTBD) framework for user-centered design
• Designed complete UI system and interactive prototypes
• Developed style guide and comprehensive UI kit
• Executed responsive design adaptation across multiple devices
• Collaborated on UI development and case design implementation

**UX/UI Designer | ""Cucina de Caterina"" Website Redesign**
Redesigned complete website experience for Italian sauce retailer, enhancing user experience and optimizing product discovery through strategic information architecture improvements.

• Conducted comprehensive user research and competitive analysis
• Developed wireframes and information architecture strategy
• Created complete UI design system and interactive prototypes
• Built comprehensive UI kit and responsive design adaptations

**UX/UI Designer | ""eChair"" Gaming Chairs Landing Page**
Designed conversion-optimized landing page for gaming chair sales, focusing on enhanced user experience and purchase funnel optimization.

• Conducted user research and market analysis
• Developed wireframes and user experience strategy
• Created complete UI design and interactive prototypes
• Developed comprehensive UI kit for brand consistency

Available for remote work opportunities with collaborative teams on innovative projects."
17,"**UI/UX Designer**

**Professional Summary**
Versatile UI/UX designer with multidisciplinary expertise spanning design, photography, interior design, and finance. 13+ years of proven team leadership experience with passion for comprehensive design solutions across all mediums. Demonstrated ability to integrate emerging technologies, including neural networks, to optimize design workflows and enhance productivity.

**Core Competencies**
- UI/UX Design & User Research
- Graphic Design & Commercial Photography
- Team Leadership & Project Management
- Brand Identity & Logo Development
- Wireframing & Interactive Prototyping
- Photo Retouching & Vector Illustration
- Print Design & Publication Layout
- Fintech Product Development

**UI/UX Design Portfolio**

**Mobile Photography Platform**
- Architected end-to-end mobile application connecting users with photographers across multiple markets
- Executed complete product development cycle: conceptualization, brand naming, logo design, user experience research, high-fidelity wireframing, interface design, and interactive prototype development

**Travel Accommodation Web Platform**
- Designed innovative web-based service enabling skill-based housing exchanges for travelers
- Delivered comprehensive design solution including concept development, brand creation, user research, wireframe development, and complete UI implementation

**Featured Projects**
- Mobile Application: ""LensLink""
- Web Platform: ""Sleep for Sweat""

**Graphic Design & Photography Experience (8+ Years)**
- Brand Identity Systems: comprehensive logo design, corporate stationery, business collateral
- Publication Design: calendar production, promotional materials, editorial layouts, book design
- Vector illustration and custom graphic creation
- Commercial photography and advertising content development
- Advanced photo retouching and image enhancement
- Specialized photography services: newborn portraiture, family sessions, fine art photography

**Professional Objective**
Dedicated to leveraging comprehensive design expertise as a collaborative team contributor in dynamic professional environments that foster continuous growth and advancement opportunities."
18,"**Web Designer**
Lviv | Seeking Full-Time Position

**EDUCATION**
Master's Degree in Musical Art | 2016-2022

**PROFESSIONAL EXPERIENCE**

**Web Design Intern | Sigma Software**
• Designed online portal for social initiatives and donations utilizing UI/UX design principles
• Identified design issues and proposed practical solutions in collaborative team environment
• Conducted consumer research and analysis to inform design decisions
• Led ideation, brainstorming, and sketching sessions for concept development
• Created prototypes and concept visualizations for stakeholder review
• Delivered high-fidelity wireframes, mockups, and interactive prototypes optimized for multiple devices and interfaces
• Developed presentations for proof of concept and implementation phases
• Facilitated smooth project transition from design to development stage

**TECHNICAL SKILLS**
• UI/UX Design
• HTML & CSS
• Mobile Application Design
• Website Design
• Wireframing & Prototyping
• Cross-device Interface Optimization
• iOS Design Guidelines (in progress)
• Material Design Guidelines (in progress)

**CORE COMPETENCIES**
• Consumer Research & Analysis
• Concept Visualization
• Team Collaboration
• Problem-Solving
• Continuous Learning & Professional Development
• Design Trend Analysis

**PORTFOLIO**
Examples of mobile applications and websites available on Behance and Instagram"
19,"**UI/UX Designer**

Results-driven UI/UX Designer passionate about crafting intuitive, user-centered digital experiences. Expertise in translating user needs into compelling interface solutions that drive engagement and optimize user experience. Demonstrated portfolio success with 3,100+ views on Behance, showcasing design excellence and market appeal.

**Professional Experience**

**MedMeet Web Service | UI/UX Designer**
Collaborated within cross-functional 2-person development team to architect comprehensive telemedicine platform connecting healthcare providers and patients. Designed intuitive user interfaces for video conferencing integration, patient medical records management system, and digital prescription workflow. Demonstrated leadership capabilities while fostering collaborative team environment to deliver cohesive product vision.

**MyScan Mobile Application | UI/UX Designer** 
Conceptualized and designed innovative mobile payment solution optimized for retail environments. Developed seamless user experience incorporating barcode scanning technology and secure electronic payment processing. Created comprehensive interface design for automated receipt generation and detailed purchase history management, enhancing customer transaction experience.

**Barbershop Landing Page | UI/UX Designer**
Engineered conversion-focused landing page design strategically crafted to maximize customer acquisition. Implemented compelling visual hierarchy and integrated appointment booking functionality to streamline client onboarding and drive business growth through enhanced user engagement.

**Glass Office Partitions Website Redesign | UI/UX Designer**
Led complete website transformation for commercial glass partition company, restructuring information architecture to improve user navigation and business objective alignment. Designed consultation request functionality and optimized user journey to increase conversion rates and enhance overall customer experience.

**Core Competencies**
• UI/UX Design & Strategy
• User Interface Development
• Cross-functional Team Leadership & Collaboration  
• Mobile Application Design
• Web Service Architecture
• Conversion-Optimized Landing Page Design
• Website Redesign & Information Architecture
• User Experience Research & Optimization"
20,"**Junior UI/UX Designer**

**Professional Summary**
Junior UI/UX designer with practical experience creating user-centered designs for clients. Completed comprehensive 3-month UI/UX design program at Shendricov Education with hands-on client interaction experience. Proven ability to deliver complete design solutions from concept through final implementation, specializing in responsive design and comprehensive UI kit development.

**Education**
**UI/UX Design Program** - Shendricov Education
Comprehensive 3-month curriculum in user interface and user experience design

**Professional Experience**
**Freelance UI/UX Designer**
- Secure and manage client projects independently following program completion
- Lead multi-page website development for psychology practice client
- Deliver end-to-end design solutions encompassing prototyping, visual design, and responsive layouts

**Project Portfolio**

**Landing Page Design - Sky Epil Depilation Studio**
- Client: Established depilation studio in Poltava with 3+ years operational history
- Project Scope: Single-page website development to enhance customer acquisition for specialized hair removal services
- Deliverables: Complete design package featuring prototype development, typography system, color scheme implementation, final web design, adaptive design solutions, and comprehensive UI kit

**Multi-Page Website - Psychology Practice**
- Client: Licensed psychologist establishing digital presence
- Project Scope: Personal brand platform development for expertise sharing and client acquisition
- Deliverables: Full-scale design solution including prototype, custom typography system, strategic color implementation, final web design, adaptive design, and UI kit
- Project Status: Active development phase

**Personal Website with Integrated Blog**
- Self-directed project showcasing comprehensive design capabilities
- Multi-page responsive design with full implementation

**Technical Competencies**
- User Interface Design
- User Experience Design
- Prototype Development
- Typography Systems Design
- Strategic Color Theory Application
- Responsive Design Implementation
- Adaptive Design Solutions
- UI Kit Development
- Client Relationship Management
- Project Coordination

**Career Objectives**
Seeking collaborative opportunities with established design teams and industry mentors to expand expertise across comprehensive UI/UX design workflows. Committed to contributing meaningfully to team objectives while pursuing continuous professional development in user-centered design methodologies."
